iter	Passed	Remaining
0	9	1820
1	14	1399
2	18	1246
3	24	1183
4	29	1144
5	33	1080
6	37	1032
7	41	1006
8	45	973
9	49	947
10	53	918
11	57	903
12	61	888
13	65	873
14	69	859
15	73	842
16	77	837
17	82	829
18	86	822
19	90	814
20	95	812
21	99	804
22	104	803
23	110	809
24	116	816
25	121	812
26	126	813
27	132	811
28	136	805
29	143	812
30	148	808
31	152	801
32	157	798
33	163	796
34	175	827
35	182	829
36	186	823
37	191	817
38	196	810
39	201	805
40	205	798
41	210	790
42	215	785
43	220	781
44	225	776
45	230	772
46	235	767
47	241	763
48	247	762
49	252	757
50	257	753
51	262	747
52	268	743
53	274	740
54	279	737
55	284	732
56	289	726
57	294	720
58	299	715
59	304	710
60	309	706
61	314	700
62	320	697
63	325	691
64	330	687
65	337	685
66	342	679
67	347	674
68	351	667
69	356	662
70	361	656
71	365	650
72	371	646
73	377	642
74	381	636
75	386	630
76	392	626
77	398	622
78	403	617
79	408	613
80	414	609
81	425	612
82	430	606
83	435	601
84	439	595
85	444	589
86	450	585
87	455	579
88	459	573
89	465	569
90	475	569
91	479	563
92	484	557
93	489	552
94	494	546
95	498	540
96	502	533
97	507	528
98	511	522
99	516	516
100	520	510
101	524	504
102	529	498
103	533	492
104	538	486
105	542	481
106	547	475
107	551	470
108	556	464
109	560	458
110	565	453
111	569	447
112	573	441
113	578	436
114	583	431
115	588	426
116	594	421
117	602	418
118	612	416
119	619	413
120	625	408
121	630	403
122	642	402
123	649	398
124	656	393
125	662	389
126	669	384
127	674	379
128	679	373
129	687	370
130	693	365
131	700	360
132	705	355
133	710	349
134	716	344
135	722	339
136	727	334
137	734	329
138	739	324
139	745	319
140	753	315
141	759	310
142	766	305
143	771	300
144	777	295
145	784	290
146	789	284
147	797	280
148	802	274
149	808	269
150	814	264
151	820	259
152	826	253
153	833	248
154	838	243
155	844	238
156	851	233
157	857	228
158	865	223
159	873	218
160	881	213
161	888	208
162	895	203
163	901	197
164	908	192
165	915	187
166	922	182
167	929	177
168	936	171
169	942	166
170	949	161
171	957	155
172	965	150
173	972	145
174	980	140
175	991	135
176	998	129
177	1006	124
178	1017	119
179	1025	113
180	1034	108
181	1046	103
182	1057	98
183	1066	92
184	1074	87
185	1088	81
186	1096	76
187	1103	70
188	1110	64
189	1117	58
190	1128	53
191	1136	47
192	1144	41
193	1150	35
194	1158	29
195	1165	23
196	1173	17
197	1181	11
198	1187	5
199	1194	0
